Institution,Country,AC,FC
"Fundación para la Investigación Biomédica del Hospital Universitario 12 de Octubre",Spain,4,0.1
"Penta Medix Co., Ltd.","South Korea",2,0.1
"Wakasa Wan Energy Research Center",Japan,1,0.1
"Immuneering Corporation","United States of America (USA)",1,0.1
"Alberto Santos Dumont Association for Research Support (AASDAP)",Brazil,1,0.1
"Sarasota Military Academy (SMA)","United States of America (USA)",1,0.1
"Department of Environment and Natural Resources (DENR)",Philippines,1,0.1
"Meteorological Service of Catalonia (SMC)",Spain,1,0.1
"University of Veterinary Medicine and Pharmacy (UVMP)",Slovakia,1,0.1
"Gujarat Vidyapeeth",India,1,0.1
"U.S. Public Health Service","United States of America (USA)",1,0.1
"Nanjing Tianbo Environmental Technology Co., Ltd.",China,1,0.1
"National Ecological Observatory Network, Inc. (NEON, Inc.)","United States of America (USA)",1,0.1
"Haydom Lutheran Hospital",Tanzania,1,0.1
"Spygen SAS",France,1,0.1
"Istituto Zooprofilattico Sperimentale della Sardegna",Italy,1,0.1
"Politeknik Kelautan dan Perikanan Sorong",Indonesia,1,0.1
"Olympus Corporation",Japan,1,0.1
"Norwegian Petroleum Directorate (NPD)",Norway,1,0.1
"Fractal Collective",Spain,1,0.1
"Marwadi University",India,1,0.1
"Galaxy Biotech, LLC","United States of America (USA)",1,0.1
"Shikoku Cancer Center",Japan,1,0.1
"Colorado Plateau Geosystems, Inc.","United States of America (USA)",1,0.1
"Osaka Organic Chemical Industry Ltd.",Japan,1,0.1
"Ninth Hospital of Xi'an",China,1,0.1
"Cameron University","United States of America (USA)",1,0.1
"Jcmwave GmbH",Germany,1,0.1
"Diakonie-Klinikum Schwäbisch Hall gGmbH",Germany,1,0.1
"Five Eleven Pharma Inc.","United States of America (USA)",1,0.1
"Tsukuba International University",Japan,1,0.1
"Bochum University of Applied Sciences",Germany,1,0.1
"Quai Branly Museum",France,1,0.1
"Samford University","United States of America (USA)",1,0.1
"Open University of the Netherlands",Netherlands,1,0.1
"Xinjiang Academy of Animal Sciences (XJAAS)",China,1,0.1
"MassTech Inc.","United States of America (USA)",1,0.1
"Shepherd University","United States of America (USA)",1,0.1
"Foundation for Scientific Advancement","United States of America (USA)",1,0.1
"World Wildlife Fund Spain (WWF Spain)",Spain,1,0.1
"OpenGeoHub Foundation",Netherlands,1,0.1
"Glencore Australia Holdings Pty Ltd.",Australia,1,0.1
"North Pacific Research Board","United States of America (USA)",1,0.1
"INS Valerià Pujol",Spain,1,0.1
"Aquatic Ecosystem Services, Ltd.","United Kingdom (UK)",1,0.1
"Indian Institute of Information Technology, Allahabad (IIIT-Allahabad)",India,1,0.1
"Papierfabrik Louisenthal GmbH",Germany,1,0.1
"University of the Pacific/Ecuador",Ecuador,1,0.1
"Universal Cells Inc.","United States of America (USA)",1,0.1
"Northern Territory Department of Mines and Energy",Australia,1,0.1
"Hubbs-SeaWorld Research Institute (HSWRI)","United States of America (USA)",1,0.1
"Ovation Fertility","United States of America (USA)",1,0.1
"Paleo Solutions, Inc.","United States of America (USA)",1,0.1
"Dongmoon Ent Co., Ltd.","South Korea",1,0.1
"La Jolla Country Day School (LJCDS)","United States of America (USA)",1,0.1
"Guizhou Hanfang Pharmaceutical Co., Ltd.",China,1,0.1
"Saiwei LDK Solar High-Tech Co., Ltd.",China,1,0.1
"TILON Group Technology Limited",China,1,0.1
"Shaanxi Institute for Food and Drug Control",China,1,0.1
"Shwebo University",Myanmar,1,0.1
"non-affiliated author contributions","Czech Republic",1,0.1
"Anixa Biosciences, Inc.","United States of America (USA)",1,0.1
"Iraqi Ministry of Electricity",Iraq,1,0.1
"Indi Molecular Inc.","United States of America (USA)",1,0.1
"Cementir Holding NV",Italy,1,0.1
"Changchun Jingyue National High-tech Industrial Development Zone",China,1,0.1
"Promethean Particles Ltd.","United Kingdom (UK)",1,0.1
"Saes Group",Italy,1,0.1
"University of Puerto Rico at Humacao (UPRH)","United States of America (USA)",1,0.1
"Aksaray University",Turkey,1,0.1
"Danang Architecture University",Vietnam,1,0.1
"Von Karman Institute for Fluid Dynamics",Belgium,1,0.1
"Princess Nourah bint Abdulrahman University (PNU)","Saudi Arabia",1,0.1
"National Museum of Natural History (Naturalis Museum)",Netherlands,1,0.1
"OQ Chemicals Corporation","United States of America (USA)",1,0.1
"North Carolina School of Science and Mathematics (NCSSM)","United States of America (USA)",1,0.1
"Curl-E Geophysics Co., Ltd. (CEG)",Thailand,1,0.1
"BioAnalysis, LLC","United States of America (USA)",1,0.1
"Weifang Traditional Chinese Hospital",China,1,0.1
"Robertson-Bryan, Inc.","United States of America (USA)",1,0.1
"Nacuity Pharmaceuticals, Inc.","United States of America (USA)",1,0.1
"Panzhihua University (PZHU)",China,1,0.1
"Beijing Institute of Graphic Communication (BIGC)",China,1,0.1
"Binzhou University (BZU)",China,1,0.1
"Fidia Farmaceutici S.p.A.",Italy,1,0.1
"Port of Oakland","United States of America (USA)",1,0.1
"Redhorse Corporation","United States of America (USA)",1,0.1
"Triveni Devi Bhalotia College",India,1,0.1
"BHP Billiton Limited",Australia,1,0.1
"GlycoPharma Corporation",Japan,1,0.1
"Yue Bei People’s Hospital",China,1,0.1
"Shenyang Jianzhu University (SJZU)",China,1,0.1
"Andong National University","South Korea",1,0.1
"Carr Astronautics Corporation","United States of America (USA)",1,0.1
"Micans - Microbial Analytics Sweden AB",Sweden,1,0.1
"Agenus Inc.","United States of America (USA)",1,0.1
"Azusa Pacific University (APU)","United States of America (USA)",1,0.1
"Miguel Lillo Foundation",Argentina,1,0.1
"Personal Peptides LLC","United States of America (USA)",1,0.1
"Wainamics Inc.","United States of America (USA)",1,0.1
"Udayana University",Indonesia,1,0.1
"Ji'an Maternal and Child Health Hospital",China,1,0.1
"Flagler College","United States of America (USA)",1,0.1
"CARsgen Therapeutics Ltd.",China,1,0.1
"Collegium Civitas",Poland,1,0.1
"non-affiliated author contributions",Poland,1,0.1
"Next Geosolutions Europe Ltd",Italy,1,0.1
"Al-Muthana University",Iraq,1,0.1
"Sciome LLC","United States of America (USA)",1,0.1
"Carbondale Community High School","United States of America (USA)",1,0.1
"QuEra Computing Inc.","United States of America (USA)",1,0.1
"Dunkeld Pastoral Co., Pty. Ltd.",Australia,1,0.1
"Lettuce Create",Australia,1,0.1
"C.A. Muller Radio Astronomy Station (CAMRAS)",Netherlands,1,0.1
"Iranian Research Institute of Plant Protection (IRIPP)",Iran,1,0.1
"Chittagong University of Engineering and Technology (CUET)",Bangladesh,1,0.1
"Lincean Academy",Italy,1,0.1
"Rijk Zwaan Zaadteelt en Zaadhandel B.V.",Netherlands,1,0.1
"Ruyuan Dongyangguang Magnetic Materials Co., Ltd.",China,1,0.1
LLa-BioEconomy,Denmark,1,0.1
"Charleston Animal Society","United States of America (USA)",1,0.1
"Zhuzhou CRRC Times Electric Co., Ltd.",China,1,0.1
"AlyZ Biosciences",France,1,0.1
"Nanjing Institute for Food and Drug Control",China,1,0.1
"Centre Hospitalier de Perpignan",France,1,0.1
"Istituto Statale Istruzione Secondaria Superiore G. B. Cerletti",Italy,1,0.1
"University of Peloponnese (UOP)",Greece,1,0.1
"Flower of Light Clinic for Mind and Body",Japan,1,0.1
"Saint Vincent College (SVC)","United States of America (USA)",1,0.1
"LNC Therapeutics SA",France,1,0.1
"Eusserthal Ecosystem Research Station (EERES), University of Koblenz and Landau",Germany,1,0.1
"Shonan Kamakura Innovation Park",Japan,1,0.1
"Andalas University (UNAND)",Indonesia,1,0.1
"Cell IDx Inc.","United States of America (USA)",1,0.1
"Asahikawa National College of Technology",Japan,1,0.1
"Procter & Gamble (P&G) België",Belgium,1,0.1
"Paradromics Inc.","United States of America (USA)",1,0.1
"On The EDGE Conservation","United Kingdom (UK)",1,0.1
"Natural Resources Defense Council","United States of America (USA)",1,0.1
"NABsys, Inc.","United States of America (USA)",1,0.1
"Troy University","United States of America (USA)",1,0.1
"Beijing City University (BCU)",China,1,0.1
"Orca Bio","United States of America (USA)",1,0.1
"CoAnn Technologies, LLC","United States of America (USA)",1,0.1
"CytoSorbents Corporation","United States of America (USA)",1,0.1
"Yunnan Institute of Cultural Relics and Archaeology",China,1,0.1
"Kyulux, Inc.",Japan,1,0.1
"Elizabethtown College (E-town)","United States of America (USA)",1,0.1
"Hendrix College","United States of America (USA)",1,0.1
"Hochuen Medical Technology Co., Ltd.",China,1,0.1
"Sweden Water Research AB",Sweden,1,0.1
"Lang Origami","United States of America (USA)",1,0.1
"Djillali Liabes University (UDL)",Algeria,1,0.1
"Idaho Skin Surgery Center","United States of America (USA)",1,0.1
"Center for Drug Evaluation (CDE)",Taiwan,1,0.1
"Association for Propagation of the Knowledge of Genetics",Japan,1,0.1
"Liaoning University of Technology",China,1,0.1
"Gansu Province Environmental Monitoring Center",China,1,0.1
"Military Medical Academy (MMA)",Bulgaria,1,0.1
"University of Hormozgan",Iran,1,0.1
"Yukon Department of Environment",Canada,1,0.1
"Technical and Vocational Training Corporation (TVTC)","Saudi Arabia",1,0.1
"BioFire Diagnostics","United States of America (USA)",1,0.1
ZyDoLab,Germany,1,0.1
"Woori Convalescent Hospital","South Korea",1,0.1
"Jiangsu JITRI Molecular Engineering Institute Co., Ltd.",China,1,0.1
"Wuhan Yangtze Soton Laser Co., Ltd.",China,1,0.1
"Hospital Infantil de México Federico Gómez (HIMFG)",Mexico,1,0.1
"Taurus Biosciences LLC","United States of America (USA)",1,0.1
"Outer Shores Expeditions",Canada,1,0.1
"Centre for High-Performance Scientific Computing in Terrestrial Systems (HPSC TerrSys)",Germany,1,0.1
"Teerthanker Mahaveer University (TMU)",India,1,0.1
"Yuxi Normal University",China,1,0.1
"Federation of American Scientists (FAS)","United States of America (USA)",1,0.1
"Liaoning Institute of Science and Technology (LNIST)",China,1,0.1
"B.R. Singh Hospital and Centre for Medical Education and Research",India,1,0.1
"Keene State College","United States of America (USA)",1,0.1
"Synopsys, Inc.","United States of America (USA)",1,0.1
"University of Mascara",Algeria,1,0.1
"Russian State Geological Prospecting University (MGRI-RSGPU)",Russia,1,0.1
"AccelBio, Inc.","United States of America (USA)",1,0.1
"Republic of Korea Naval Academy (ROKNA)","South Korea",1,0.1
"Université Antènor Firmin",Haiti,1,0.1
"Applied Biomedical Science Institute (ABS Institute)","United States of America (USA)",1,0.1
"Iran's National Elites Foundation (INEF)",Iran,1,0.1
"QART Medical Ltd.",Israel,1,0.1
"Goeppert LLC","United States of America (USA)",1,0.1
"Azienda Ospedaliera Brotzu (AOB)",Italy,1,0.1
Lantmäteriet,Sweden,1,0.1
"Freese and Nichols, Inc.","United States of America (USA)",1,0.1
"Tanzania Marine Parks and Reserves Unit",Tanzania,1,0.1
"Dongguan ROE Technology Co., Ltd.",China,1,0.1
"Great Lakes Fishery Commission","United States of America (USA)",1,0.1
"non-affiliated author contributions",International,1,0.1
"VA SYD",Sweden,1,0.1
"MacMurray College","United States of America (USA)",1,0.1
BioTransfer,France,1,0.1
"Ascribe Bioscience Inc.","United States of America (USA)",1,0.1
Bloomoon,France,1,0.1
"Baxter U.S. - Healthcare","United States of America (USA)",1,0.1
"National Institute for Land and Infrastructure Management (NILIM)",Japan,1,0.1
"City of Scientific Research and Technology Applications (SRTA-City)",Egypt,1,0.1
"Cobb-Vantress, Inc.","United States of America (USA)",1,0.1
"Chi Mei Medical Center",Taiwan,1,0.1
"E-Spin Nanotech Pvt. Ltd.",India,1,0.1
"German Jordanian University (GJU)",Jordan,1,0.1
"Cherenkov Telescope Array Observatory gGmbH (CTAO gGmbH)",Germany,1,0.1
"Lafayette College","United States of America (USA)",1,0.1
"Jining Medical University",China,3,0.099918831168831
"Tanzania Fisheries Research Institute (TAFIRI)",Tanzania,2,0.099039172209904
"Biogle Genome Editing Center",China,2,0.098924731182796
"General University Hospital in Prague","Czech Republic",3,0.098809523809524
"Pontifical Catholic University of Minas Gerais (PUC Minas)",Brazil,3,0.098794352823588
"Geneva Foundation","United States of America (USA)",2,0.09866220735786
"Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)",Belgium,2,0.098484848484848
"Cleveland Museum of Natural History","United States of America (USA)",2,0.098214285714286
"Azienda Ospedaliera Spedali Civili di Brescia",Italy,4,0.098163114094487
"Chongqing Public Health Medical Center",China,1,0.098039215686275
"Fundação Getulio Vargas (FGV)",Brazil,2,0.097619047619048
"Shenzhen Children's Hospital",China,3,0.097494553376906
"Las Cumbres Observatory Global Telescope Network (LCOGT, Inc.)","United States of America (USA)",1,0.097222222222222
"Spectrum Health","United States of America (USA)",3,0.097124722124722
"Paracelsus-Elena Hospital",Germany,2,0.096969696969697
"King Edward Memorial Hospital for Women (KEMH)",Australia,4,0.096872250918285
"Praxisgemeinschaft Rheumatologie Nephrologie Erlangen",Germany,1,0.096774193548387
"Verastem, Inc.","United States of America (USA)",1,0.096774193548387
"CHU Amiens-Picardie",France,1,0.096774193548387
"Euglena Co., Ltd.",Japan,1,0.096774193548387
"King Mongkut's Institute of Technology Ladkrabang (KMITL)",Thailand,6,0.096688988095238
"American Association of Variable Star Observers (AAVSO)","United States of America (USA)",2,0.096638655462185
"Shizuoka General Hospital",Japan,5,0.09656862745098
"Ibero-American University (UIA)",Mexico,58,0.096517710233135
"Millennium Management LLC","United States of America (USA)",7,0.096494047619048
"Icelandic Heart Association (IHA)",Iceland,10,0.096389978692909
"NICE Solar Energy GmbH",Germany,2,0.096153846153846
"Exopert Corporation","South Korea",1,0.096153846153846
"Shenzhen Puensum Genetech Institute",China,1,0.096153846153846
"Sibel Inc.","United States of America (USA)",1,0.095967741935484
"Université Mohammed Premier (UMP)",Morocco,47,0.095844850703029
"Research Centre for Medical Genetics (RCMG)",Russia,2,0.095833333333333
"Children's Hospital of Orange County (CHOC)","United States of America (USA)",3,0.095820655848546
"African Institute for Mathematical Sciences (AIMS)","South Africa",5,0.095770202020202
"Oklahoma State University–Tulsa (OSU-Tulsa)","United States of America (USA)",2,0.095454545454545
"Sarawak Tropical Peat Research Institute (STROPI)",Malaysia,2,0.095333869670153
"Cellestia Biotech AG",Switzerland,1,0.095238095238095
"Reaction Biology Corporation (RBC)","United States of America (USA)",1,0.095238095238095
"Federal University of Health Sciences of Porto Alegre (UFCSPA)",Brazil,1,0.095238095238095
"Cancer Targeting Systems, Inc.","United Kingdom (UK)",1,0.095238095238095
"National University of Trujillo (UNT)",Peru,1,0.095238095238095
"Freeport-McMoRan Inc.","United States of America (USA)",1,0.095238095238095
"National Institute of Science and Technology for Structural Biology and Bioimaging (INBEB)",Brazil,1,0.095238095238095
"Merrimack College","United States of America (USA)",1,0.095238095238095
"Anhui Zhifei Longcom Biopharmaceutical Co., Ltd.",China,1,0.095238095238095
"Ludger Ltd.","United Kingdom (UK)",1,0.095238095238095
"IsoPlexis Corporation","United States of America (USA)",1,0.095238095238095
"Yayasan Sabah Group",Malaysia,1,0.095238095238095
"Inston Inc.","United States of America (USA)",1,0.095238095238095
"Sapporo Kosei General Hospital",Japan,1,0.095238095238095
"Pirkanmaa Hospital District",Finland,3,0.095162286420092
"Ministry of Natural Resources and Environment of the Russian Federation",Russia,4,0.094967532467532
"Campbell University","United States of America (USA)",2,0.094444444444444
"Shanghai Biotecan Pharmaceuticals Co., Ltd.",China,2,0.094444444444444
"Fujian Provincial Hospital",China,3,0.094332750582751
"International Space Science Institute (ISSI)",Switzerland,3,0.094330745706892
"Krankenhaus Nordwest GmbH",Germany,2,0.094242424242424
"Australian National Botanic Gardens (ANBG)",Australia,2,0.094155844155844
"World Wildlife Fund Pacific (WWF-Pacific)",Fiji,2,0.094053744997141
"Medicinal Chemistry and Synthesis Group (MCS), IQAC CSIC",Spain,2,0.09375
